Time	UTC	GPS_lat(deg)	GPS_long(deg)	FINKEN_IR_ADC:ir_distance	FINKEN_ACTUATORS_MODEL:thrust	ROTORCRAFT_STATUS:vsupply	ROTORCRAFT_FP:thrust
14.010	16:06:3.177	43.462229950	1.272889989	0.208381	0.239474	126	0
14.260	16:06:3.427	43.462229950	1.272889989	0.208381	0.239474	126	0
14.510	16:06:3.677	43.462229950	1.272889989	0.208381	0.239474	126	0
14.760	16:06:3.927	43.462229950	1.272889989	0.242286	0.239474	126	0
15.010	16:06:4.177	43.462229950	1.272889989	0.242286	0.239474	126	0
15.260	16:06:4.427	43.462229950	1.272889989	0.242286	0.239474	126	0
15.510	16:06:4.677	43.462229950	1.272889989	0.242286	0.239474	126	0
15.760	16:06:4.927	43.462229950	1.272889989	0.239048	0.239474	126	0
16.010	16:06:5.177	43.462229950	1.272889989	0.239048	0.239474	126	0
16.260	16:06:5.427	43.462229950	1.272889989	0.239048	0.239474	126	0
16.510	16:06:5.677	43.462229950	1.272889989	0.239048	0.239474	126	0
16.760	16:06:5.927	43.462229950	1.272889989	0.240762	0.239474	126	0
17.010	16:06:6.177	43.462229950	1.272889989	0.240762	0.239474	126	0
17.260	16:06:6.427	43.462229950	1.272889989	0.240762	0.239474	126	0
17.510	16:06:6.677	43.462229950	1.272889989	0.240762	0.239474	126	0
17.760	16:06:6.927	43.462229950	1.272889989	0.242476	0.239474	126	0
18.010	16:06:7.177	43.462229950	1.272889989	0.242476	0.239474	126	0
18.260	16:06:7.427	43.462229950	1.272889989	0.242476	0.239474	126	0
18.510	16:06:7.677	43.462229950	1.272889989	0.242476	0.239474	126	0
18.760	16:06:7.927	43.462229950	1.272889989	0.2	0.239474	126	0
19.010	16:06:8.177	43.462229950	1.272889989	0.2	0.239474	126	0
19.260	16:06:8.427	43.462229950	1.272889989	0.2	0.239474	126	0
19.510	16:06:8.677	43.462229950	1.272889989	0.2	0.239474	126	0
19.760	16:06:8.927	43.462229950	1.272889989	0.902857	0.239474	126	0
20.010	16:06:9.177	43.462229950	1.272889989	0.902857	0.239474	126	0
20.260	16:06:9.427	43.462229950	1.272889989	0.902857	0.239474	126	0
20.510	16:06:9.677	43.462229950	1.272889989	0.902857	0.239474	126	0
20.760	16:06:9.927	43.462229950	1.272889989	0.5804	0.239474	126	0
21.010	16:06:10.177	43.462229950	1.272889989	0.5804	0.239474	126	0
21.260	16:06:10.427	43.462229950	1.272889989	0.5804	0.239474	126	0
21.510	16:06:10.677	43.462229950	1.272889989	0.5804	0.239474	126	0
21.760	16:06:10.927	43.462229950	1.272889989	0.5712	0.239474	126	0
22.010	16:06:11.177	43.462229950	1.272889989	0.5712	0.239474	126	0
22.260	16:06:11.427	43.462229950	1.272889989	0.5712	0.239474	126	0
22.510	16:06:11.677	43.462229950	1.272889989	0.5712	0.239474	126	0
22.760	16:06:11.927	43.462229950	1.272889989	0.2	0.239474	126	0
23.010	16:06:12.177	43.462229950	1.272889989	0.2	0.239474	126	0
23.260	16:06:12.427	43.462229950	1.272889989	0.2	0.239474	126	0
23.510	16:06:12.677	43.462229950	1.272889989	0.2	0.239474	126	0
23.760	16:06:12.927	43.462229950	1.272889989	0.2	0.239474	126	0
24.010	16:06:13.177	43.462229950	1.272889989	0.2	0.239474	126	0
24.260	16:06:13.427	43.462229950	1.272889989	0.2	0.239474	126	0
24.510	16:06:13.677	43.462229950	1.272889989	0.2	0.239474	126	0
24.760	16:06:13.927	43.462229950	1.272889989	0.2	0.239474	126	0
25.010	16:06:14.177	43.462229950	1.272889989	0.2	0.239474	126	0
25.260	16:06:14.427	43.462229950	1.272889989	0.2	0.239474	126	0
25.510	16:06:14.677	43.462229950	1.272889989	0.2	0.239474	126	0
25.760	16:06:14.927	43.462229950	1.272889989	0.242667	0.239474	126	0
26.010	16:06:15.177	43.462229950	1.272889989	0.242667	0.239474	126	0
26.260	16:06:15.427	43.462229950	1.272889989	0.242667	0.239474	126	0
