Time	UTC	GPS_lat(deg)	GPS_long(deg)
21.474	14:43:45.474	43.462229950	1.272889989
21.724	14:43:45.724	43.462229950	1.272889989
21.974	14:43:45.974	43.462229950	1.272889989
22.224	14:43:46.224	43.462229950	1.272889989
22.474	14:43:46.474	43.462229950	1.272889989
22.724	14:43:46.724	43.462229950	1.272889989
22.974	14:43:46.974	43.462229950	1.272889989
23.224	14:43:47.224	43.462229950	1.272889989
23.474	14:43:47.474	43.462229950	1.272889989
23.724	14:43:47.724	43.462229950	1.272889989
23.974	14:43:47.974	43.462229950	1.272889989
24.224	14:43:48.224	43.462229950	1.272889989
24.474	14:43:48.474	43.462229950	1.272889989
24.724	14:43:48.724	43.462229950	1.272889989
24.974	14:43:48.974	43.462229950	1.272889989
25.224	14:43:49.224	43.462229950	1.272889989
25.474	14:43:49.474	43.462229950	1.272889989
25.724	14:43:49.724	43.462229950	1.272889989
25.974	14:43:49.974	43.462229950	1.272889989
26.224	14:43:50.224	43.462229950	1.272889989
26.474	14:43:50.474	43.462229950	1.272889989
26.724	14:43:50.724	43.462229950	1.272889989
26.974	14:43:50.974	43.462229950	1.272889989
27.224	14:43:51.224	43.462229950	1.272889989
27.474	14:43:51.474	43.462229950	1.272889989
27.724	14:43:51.724	43.462229950	1.272889989
27.974	14:43:51.974	43.462229950	1.272889989
28.224	14:43:52.224	43.462229950	1.272889989
28.474	14:43:52.474	43.462229950	1.272889989
28.724	14:43:52.724	43.462229950	1.272889989
28.974	14:43:52.974	43.462229950	1.272889989
29.224	14:43:53.224	43.462229950	1.272889989
29.474	14:43:53.474	43.462229950	1.272889989
29.724	14:43:53.724	43.462229950	1.272889989
29.974	14:43:53.974	43.462229950	1.272889989
30.224	14:43:54.224	43.462229950	1.272889989
30.474	14:43:54.474	43.462229950	1.272889989
30.724	14:43:54.724	43.462229950	1.272889989
30.974	14:43:54.974	43.462229950	1.272889989
31.224	14:43:55.224	43.462229950	1.272889989
31.474	14:43:55.474	43.462229950	1.272889989
31.724	14:43:55.724	43.462229950	1.272889989
31.974	14:43:55.974	43.462229950	1.272889989
32.224	14:43:56.224	43.462229950	1.272889989
32.474	14:43:56.474	43.462229950	1.272889989
32.724	14:43:56.724	43.462229950	1.272889989
32.974	14:43:56.974	43.462229950	1.272889989
33.224	14:43:57.224	43.462229950	1.272889989
33.474	14:43:57.474	43.462229950	1.272889989
33.724	14:43:57.724	43.462229950	1.272889989
33.974	14:43:57.974	43.462229950	1.272889989
34.224	14:43:58.224	43.462229950	1.272889989
34.474	14:43:58.474	43.462229950	1.272889989
34.724	14:43:58.724	43.462229950	1.272889989
34.974	14:43:58.974	43.462229950	1.272889989
35.224	14:43:59.224	43.462229950	1.272889989
35.474	14:43:59.474	43.462229950	1.272889989
35.724	14:43:59.724	43.462229950	1.272889989
35.974	14:43:59.974	43.462229950	1.272889989
36.224	14:44:0.224	43.462229950	1.272889989
36.474	14:44:0.474	43.462229950	1.272889989
36.724	14:44:0.724	43.462229950	1.272889989
36.974	14:44:0.974	43.462229950	1.272889989
37.224	14:44:1.224	43.462229950	1.272889989
37.474	14:44:1.474	43.462229950	1.272889989
37.724	14:44:1.724	43.462229950	1.272889989
37.974	14:44:1.974	43.462229950	1.272889989
38.224	14:44:2.224	43.462229950	1.272889989
38.474	14:44:2.474	43.462229950	1.272889989
38.724	14:44:2.724	43.462229950	1.272889989
38.974	14:44:2.974	43.462229950	1.272889989
39.224	14:44:3.224	43.462229950	1.272889989
39.474	14:44:3.474	43.462229950	1.272889989
39.724	14:44:3.724	43.462229950	1.272889989
39.974	14:44:3.974	43.462229950	1.272889989
40.224	14:44:4.224	43.462229950	1.272889989
40.474	14:44:4.474	43.462229950	1.272889989
40.724	14:44:4.724	43.462229950	1.272889989
40.974	14:44:4.974	43.462229950	1.272889989
41.224	14:44:5.224	43.462229950	1.272889989
41.474	14:44:5.474	43.462229950	1.272889989
41.724	14:44:5.724	43.462229950	1.272889989
41.974	14:44:5.974	43.462229950	1.272889989
42.224	14:44:6.224	43.462229950	1.272889989
42.474	14:44:6.474	43.462229950	1.272889989
42.724	14:44:6.724	43.462229950	1.272889989
42.974	14:44:6.974	43.462229950	1.272889989
43.224	14:44:7.224	43.462229950	1.272889989
43.474	14:44:7.474	43.462229950	1.272889989
43.724	14:44:7.724	43.462229950	1.272889989
43.974	14:44:7.974	43.462229950	1.272889989
44.224	14:44:8.224	43.462229950	1.272889989
44.474	14:44:8.474	43.462229950	1.272889989
44.724	14:44:8.724	43.462229950	1.272889989
44.974	14:44:8.974	43.462229950	1.272889989
45.224	14:44:9.224	43.462229950	1.272889989
45.474	14:44:9.474	43.462229950	1.272889989
45.724	14:44:9.724	43.462229950	1.272889989
45.974	14:44:9.974	43.462229950	1.272889989
46.224	14:44:10.224	43.462229950	1.272889989
46.474	14:44:10.474	43.462229950	1.272889989
46.724	14:44:10.724	43.462229950	1.272889989
46.974	14:44:10.974	43.462229950	1.272889989
47.224	14:44:11.224	43.462229950	1.272889989
47.474	14:44:11.474	43.462229950	1.272889989
47.724	14:44:11.724	43.462229950	1.272889989
47.974	14:44:11.974	43.462229950	1.272889989
48.224	14:44:12.224	43.462229950	1.272889989
48.474	14:44:12.474	43.462229950	1.272889989
48.724	14:44:12.724	43.462229950	1.272889989
48.974	14:44:12.974	43.462229950	1.272889989
49.224	14:44:13.224	43.462229950	1.272889989
49.474	14:44:13.474	43.462229950	1.272889989
49.724	14:44:13.724	43.462229950	1.272889989
49.974	14:44:13.974	43.462229950	1.272889989
50.224	14:44:14.224	43.462229950	1.272889989
50.474	14:44:14.474	43.462229950	1.272889989
50.724	14:44:14.724	43.462229950	1.272889989
50.974	14:44:14.974	43.462229950	1.272889989
51.224	14:44:15.224	43.462229950	1.272889989
51.474	14:44:15.474	43.462229950	1.272889989
51.724	14:44:15.724	43.462229950	1.272889989
51.974	14:44:15.974	43.462229950	1.272889989
52.224	14:44:16.224	43.462229950	1.272889989
52.474	14:44:16.474	43.462229950	1.272889989
52.724	14:44:16.724	43.462229950	1.272889989
52.974	14:44:16.974	43.462229950	1.272889989
53.224	14:44:17.224	43.462229950	1.272889989
53.474	14:44:17.474	43.462229950	1.272889989
53.724	14:44:17.724	43.462229950	1.272889989
53.974	14:44:17.974	43.462229950	1.272889989
54.224	14:44:18.224	43.462229950	1.272889989
54.474	14:44:18.474	43.462229950	1.272889989
54.724	14:44:18.724	43.462229950	1.272889989
54.974	14:44:18.974	43.462229950	1.272889989
55.224	14:44:19.224	43.462229950	1.272889989
55.474	14:44:19.474	43.462229950	1.272889989
55.724	14:44:19.724	43.462229950	1.272889989
55.974	14:44:19.974	43.462229950	1.272889989
