Time	UTC	GPS_lat(deg)	GPS_long(deg)	FINKEN_IR_ADC:ir_distance	FINKEN_ACTUATORS_MODEL:thrust	ROTORCRAFT_STATUS:vsupply
26.923	15:31:44.793	43.462229950	1.272889989	0.225333	0.239474	126
27.173	15:31:45.043	43.462229950	1.272889989	0.2	0.239474	126
27.423	15:31:45.293	43.462229950	1.272889989	0.2	0.239474	126
27.673	15:31:45.543	43.462229950	1.272889989	0.2	0.239474	126
27.923	15:31:45.793	43.462229950	1.272889989	0.2	0.239474	126
28.173	15:31:46.043	43.462229950	1.272889989	1.3	0.239474	126
28.423	15:31:46.293	43.462229950	1.272889989	1.3	0.239474	126
28.673	15:31:46.543	43.462229950	1.272889989	1.3	0.239474	126
28.923	15:31:46.793	43.462229950	1.272889989	1.3	0.239474	126
29.173	15:31:47.043	43.462229950	1.272889989	0.4704	0.239474	126
29.423	15:31:47.293	43.462229950	1.272889989	0.4704	0.239474	126
29.673	15:31:47.543	43.462229950	1.272889989	0.4704	0.239474	126
29.923	15:31:47.793	43.462229950	1.272889989	0.4704	0.239474	126
30.173	15:31:48.043	43.462229950	1.272889989	0.7864	0.239474	126
30.423	15:31:48.293	43.462229950	1.272889989	0.7864	0.239474	126
30.673	15:31:48.543	43.462229950	1.272889989	0.7864	0.239474	126
30.923	15:31:48.793	43.462229950	1.272889989	0.7864	0.239474	126
31.173	15:31:49.043	43.462229950	1.272889989	0.5016	0.239474	126
31.423	15:31:49.293	43.462229950	1.272889989	0.5016	0.239474	126
31.673	15:31:49.543	43.462229950	1.272889989	0.5016	0.239474	126
31.923	15:31:49.793	43.462229950	1.272889989	0.5016	0.239474	126
32.173	15:31:50.043	43.462229950	1.272889989	0.242667	0.239474	126
32.423	15:31:50.293	43.462229950	1.272889989	0.242667	0.239474	126
32.673	15:31:50.543	43.462229950	1.272889989	0.242667	0.239474	126
32.923	15:31:50.793	43.462229950	1.272889989	0.242667	0.239474	126
33.173	15:31:51.043	43.462229950	1.272889989	0.242476	0.239474	126
33.423	15:31:51.293	43.462229950	1.272889989	0.242476	0.239474	126
33.673	15:31:51.543	43.462229950	1.272889989	0.242476	0.239474	126
33.923	15:31:51.793	43.462229950	1.272889989	0.242476	0.239474	126
34.173	15:31:52.043	43.462229950	1.272889989	0.242476	0.239474	126
34.423	15:31:52.293	43.462229950	1.272889989	0.242476	0.239474	126
34.673	15:31:52.543	43.462229950	1.272889989	0.242476	0.239474	126
34.923	15:31:52.793	43.462229950	1.272889989	0.242476	0.239474	126
35.173	15:31:53.043	43.462229950	1.272889989	0.242857	0.239474	126
35.423	15:31:53.293	43.462229950	1.272889989	0.242857	0.239474	126
35.673	15:31:53.543	43.462229950	1.272889989	0.242857	0.239474	126
35.923	15:31:53.793	43.462229950	1.272889989	0.242857	0.239474	126
36.173	15:31:54.043	43.462229950	1.272889989	0.242667	0.239474	126
36.423	15:31:54.293	43.462229950	1.272889989	0.242667	0.239474	126
36.673	15:31:54.543	43.462229950	1.272889989	0.242667	0.239474	126
36.923	15:31:54.793	43.462229950	1.272889989	0.242667	0.239474	126
37.173	15:31:55.043	43.462229950	1.272889989	0.241905	0.239474	126
37.423	15:31:55.293	43.462229950	1.272889989	0.241905	0.239474	126
37.673	15:31:55.543	43.462229950	1.272889989	0.241905	0.239474	126
37.923	15:31:55.793	43.462229950	1.272889989	0.241905	0.239474	126
38.173	15:31:56.043	43.462229950	1.272889989	0.242286	0.239474	126
38.423	15:31:56.293	43.462229950	1.272889989	0.242286	0.239474	126
38.673	15:31:56.543	43.462229950	1.272889989	0.242286	0.239474	126
38.923	15:31:56.793	43.462229950	1.272889989	0.242286	0.239474	126
39.173	15:31:57.043	43.462229950	1.272889989	0.242857	0.239474	126
39.423	15:31:57.293	43.462229950	1.272889989	0.242857	0.239474	126
39.673	15:31:57.543	43.462229950	1.272889989	0.242857	0.239474	126
39.923	15:31:57.793	43.462229950	1.272889989	0.242857	0.239474	126
40.173	15:31:58.043	43.462229950	1.272889989	0.241714	0.239474	126
40.423	15:31:58.293	43.462229950	1.272889989	0.241714	0.239474	126
40.673	15:31:58.543	43.462229950	1.272889989	0.241714	0.239474	126
40.923	15:31:58.793	43.462229950	1.272889989	0.241714	0.239474	126
41.173	15:31:59.043	43.462229950	1.272889989	0.242095	0.239474	126
41.423	15:31:59.293	43.462229950	1.272889989	0.242095	0.239474	126
41.673	15:31:59.543	43.462229950	1.272889989	0.242095	0.239474	126
41.923	15:31:59.793	43.462229950	1.272889989	0.242095	0.239474	126
42.173	15:32:0.043	43.462229950	1.272889989	0.242286	0.239474	126
42.423	15:32:0.293	43.462229950	1.272889989	0.242286	0.239474	126
42.673	15:32:0.543	43.462229950	1.272889989	0.242286	0.239474	126
42.923	15:32:0.793	43.462229950	1.272889989	0.242286	0.239474	126
43.173	15:32:1.043	43.462229950	1.272889989	0.242857	0.239474	126
43.423	15:32:1.293	43.462229950	1.272889989	0.242857	0.239474	126
43.673	15:32:1.543	43.462229950	1.272889989	0.242857	0.239474	126
43.923	15:32:1.793	43.462229950	1.272889989	0.242857	0.239474	126
44.173	15:32:2.043	43.462229950	1.272889989	0.242286	0.239474	126
44.423	15:32:2.293	43.462229950	1.272889989	0.242286	0.239474	126
44.673	15:32:2.543	43.462229950	1.272889989	0.242286	0.239474	126
44.923	15:32:2.793	43.462229950	1.272889989	0.242286	0.239474	126
45.173	15:32:3.043	43.462229950	1.272889989	0.242476	0.239474	126
45.423	15:32:3.293	43.462229950	1.272889989	0.242476	0.239474	126
45.673	15:32:3.543	43.462229950	1.272889989	0.242476	0.239474	126
45.923	15:32:3.793	43.462229950	1.272889989	0.242476	0.239474	126
46.173	15:32:4.043	43.462229950	1.272889989	0.242286	0.239474	126
46.423	15:32:4.293	43.462229950	1.272889989	0.242286	0.239474	126
46.673	15:32:4.543	43.462229950	1.272889989	0.242286	0.239474	126
46.923	15:32:4.793	43.462229950	1.272889989	0.242286	0.239474	126
47.173	15:32:5.043	43.462229950	1.272889989	0.242095	0.239474	126
47.423	15:32:5.293	43.462229950	1.272889989	0.242095	0.239474	126
47.673	15:32:5.543	43.462229950	1.272889989	0.242095	0.239474	126
47.923	15:32:5.793	43.462229950	1.272889989	0.242095	0.239474	126
48.173	15:32:6.043	43.462229950	1.272889989	0.242286	0.239474	126
48.423	15:32:6.293	43.462229950	1.272889989	0.242286	0.239474	126
48.673	15:32:6.543	43.462229950	1.272889989	0.242286	0.239474	126
48.923	15:32:6.793	43.462229950	1.272889989	0.242286	0.239474	126
49.173	15:32:7.043	43.462229950	1.272889989	0.242286	0.239474	126
49.423	15:32:7.293	43.462229950	1.272889989	0.242286	0.239474	126
49.673	15:32:7.543	43.462229950	1.272889989	0.242286	0.239474	126
49.923	15:32:7.793	43.462229950	1.272889989	0.242286	0.239474	126
50.173	15:32:8.043	43.462229950	1.272889989	0.242286	0.239474	126
50.423	15:32:8.293	43.462229950	1.272889989	0.242286	0.239474	126
50.673	15:32:8.543	43.462229950	1.272889989	0.242286	0.239474	126
50.923	15:32:8.793	43.462229950	1.272889989	0.242286	0.239474	126
51.173	15:32:9.043	43.462229950	1.272889989	0.241905	0.239474	126
51.423	15:32:9.293	43.462229950	1.272889989	0.241905	0.239474	126
51.673	15:32:9.543	43.462229950	1.272889989	0.241905	0.239474	126
51.923	15:32:9.793	43.462229950	1.272889989	0.241905	0.239474	126
52.173	15:32:10.043	43.462229950	1.272889989	0.242286	0.239474	126
52.423	15:32:10.293	43.462229950	1.272889989	0.242286	0.239474	126
52.673	15:32:10.543	43.462229950	1.272889989	0.242286	0.239474	126
52.923	15:32:10.793	43.462229950	1.272889989	0.242286	0.239474	126
53.173	15:32:11.043	43.462229950	1.272889989	0.238286	0.239474	126
53.423	15:32:11.293	43.462229950	1.272889989	0.238286	0.239474	126
53.673	15:32:11.543	43.462229950	1.272889989	0.238286	0.287649	126
53.923	15:32:11.793	43.462229950	1.272889989	0.238286	0.287649	126
54.173	15:32:12.043	43.462229950	1.272889989	0.242286	0.287649	126
54.423	15:32:12.293	43.462229950	1.272889989	0.242286	0.287649	126
54.673	15:32:12.543	43.462229950	1.272889989	0.242286	0.287649	126
54.923	15:32:12.793	43.462229950	1.272889989	0.242286	0.287649	126
55.173	15:32:13.043	43.462229950	1.272889989	0.242286	0.287649	126
55.423	15:32:13.293	43.462229950	1.272889989	0.242286	0.287649	126
55.673	15:32:13.543	43.462229950	1.272889989	0.242286	0.287649	126
55.923	15:32:13.793	43.462229950	1.272889989	0.242286	0.287649	126
56.173	15:32:14.043	43.462229950	1.272889989	0.242476	0.287649	126
56.423	15:32:14.293	43.462229950	1.272889989	0.242476	0.287649	126
56.673	15:32:14.543	43.462229950	1.272889989	0.242476	0.239474	126
56.923	15:32:14.793	43.462229950	1.272889989	0.242476	0.239474	126
57.173	15:32:15.043	43.462229950	1.272889989	0.242286	0.239474	126
57.423	15:32:15.293	43.462229950	1.272889989	0.242286	0.239474	126
57.673	15:32:15.543	43.462229950	1.272889989	0.242286	0.239474	126
57.923	15:32:15.793	43.462229950	1.272889989	0.242286	0.239474	126
58.173	15:32:16.043	43.462229950	1.272889989	0.242476	0.239474	126
58.423	15:32:16.293	43.462229950	1.272889989	0.242476	0.239474	126
58.673	15:32:16.543	43.462229950	1.272889989	0.242476	0.239474	126
58.923	15:32:16.793	43.462229950	1.272889989	0.242476	0.239474	126
59.173	15:32:17.043	43.462229950	1.272889989	0.242286	0.239474	126
59.423	15:32:17.293	43.462229950	1.272889989	0.242286	0.239474	126
59.673	15:32:17.543	43.462229950	1.272889989	0.242286	0.239474	126
59.923	15:32:17.793	43.462229950	1.272889989	0.242286	0.239474	126
60.173	15:32:18.043	43.462229950	1.272889989	0.242095	0.239474	126
60.423	15:32:18.293	43.462229950	1.272889989	0.242095	0.239474	126
60.673	15:32:18.543	43.462229950	1.272889989	0.242095	0.239474	126
60.923	15:32:18.793	43.462229950	1.272889989	0.242095	0.239474	126
61.173	15:32:19.043	43.462229950	1.272889989	0.242095	0.239474	126
61.423	15:32:19.293	43.462229950	1.272889989	0.242095	0.239474	126
61.673	15:32:19.543	43.462229950	1.272889989	0.242095	0.239474	126
61.923	15:32:19.793	43.462229950	1.272889989	0.242095	0.239474	126
62.173	15:32:20.043	43.462229950	1.272889989	0.242286	0.239474	126
62.423	15:32:20.293	43.462229950	1.272889989	0.242286	0.239474	126
62.673	15:32:20.543	43.462229950	1.272889989	0.242286	0.239474	126
62.923	15:32:20.793	43.462229950	1.272889989	0.242286	0.239474	126
63.173	15:32:21.043	43.462229950	1.272889989	0.242095	0.239474	126
63.423	15:32:21.293	43.462229950	1.272889989	0.242095	0.239474	126
63.673	15:32:21.543	43.462229950	1.272889989	0.242095	0.239474	126
63.923	15:32:21.793	43.462229950	1.272889989	0.242095	0.239474	126
64.173	15:32:22.043	43.462229950	1.272889989	0.242095	0.239474	126
64.423	15:32:22.293	43.462229950	1.272889989	0.242095	0.239474	126
64.673	15:32:22.543	43.462229950	1.272889989	0.242095	0.239474	126
64.923	15:32:22.793	43.462229950	1.272889989	0.242095	0.239474	126
65.173	15:32:23.043	43.462229950	1.272889989	0.242286	0.239474	126
65.423	15:32:23.293	43.462229950	1.272889989	0.242286	0.239474	126
65.673	15:32:23.543	43.462229950	1.272889989	0.242286	0.239474	126
65.923	15:32:23.793	43.462229950	1.272889989	0.242286	0.239474	126
66.173	15:32:24.043	43.462229950	1.272889989	0.242286	0.239474	126
66.423	15:32:24.293	43.462229950	1.272889989	0.242286	0.239474	126
66.673	15:32:24.543	43.462229950	1.272889989	0.242286	0.239474	126
66.923	15:32:24.793	43.462229950	1.272889989	0.242286	0.239474	126
67.173	15:32:25.043	43.462229950	1.272889989	0.242095	0.239474	126
67.423	15:32:25.293	43.462229950	1.272889989	0.242095	0.239474	126
67.673	15:32:25.543	43.462229950	1.272889989	0.242095	0.239474	126
67.923	15:32:25.793	43.462229950	1.272889989	0.242095	0.239474	126
68.173	15:32:26.043	43.462229950	1.272889989	0.242095	0.239474	126
68.423	15:32:26.293	43.462229950	1.272889989	0.242095	0.239474	126
68.673	15:32:26.543	43.462229950	1.272889989	0.242095	0.239474	126
68.923	15:32:26.793	43.462229950	1.272889989	0.242095	0.239474	125
69.173	15:32:27.043	43.462229950	1.272889989	0.242286	0.239474	125
69.423	15:32:27.293	43.462229950	1.272889989	0.242286	0.239474	125
69.673	15:32:27.543	43.462229950	1.272889989	0.242286	0.239474	125
69.923	15:32:27.793	43.462229950	1.272889989	0.242286	0.239474	125
70.173	15:32:28.043	43.462229950	1.272889989	0.242476	0.239474	125
70.423	15:32:28.293	43.462229950	1.272889989	0.242476	0.239474	125
70.673	15:32:28.543	43.462229950	1.272889989	0.242476	0.239474	125
70.923	15:32:28.793	43.462229950	1.272889989	0.242476	0.239474	125
71.173	15:32:29.043	43.462229950	1.272889989	0.242286	0.239474	125
71.423	15:32:29.293	43.462229950	1.272889989	0.242286	0.239474	125
71.673	15:32:29.543	43.462229950	1.272889989	0.242286	0.239474	125
71.923	15:32:29.793	43.462229950	1.272889989	0.242286	0.239474	125
