Time	UTC	GPS_lat(deg)	GPS_long(deg)	FINKEN_ACTUATORS_MODEL:thrust	ROTORCRAFT_STATUS:vsupply
43.974	09:11:15.384	43.462229950	1.272889989	0.283446	122
44.224	09:11:15.634	43.462229950	1.272889989	0.283446	122
44.474	09:11:15.884	43.462229950	1.272889989	0.283446	122
44.724	09:11:16.134	43.462229950	1.272889989	0.283446	122
44.974	09:11:16.384	43.462229950	1.272889989	0.283446	122
45.224	09:11:16.634	43.462229950	1.272889989	0.283446	122
45.474	09:11:16.884	43.462229950	1.272889989	0.283446	122
45.724	09:11:17.134	43.462229950	1.272889989	0.28779	122
45.974	09:11:17.384	43.462229950	1.272889989	0.28779	122
46.224	09:11:17.634	43.462229950	1.272889989	0.28779	122
46.474	09:11:17.884	43.462229950	1.272889989	0.28779	122
46.724	09:11:18.134	43.462229950	1.272889989	0.28779	122
46.974	09:11:18.384	43.462229950	1.272889989	0.28779	122
47.224	09:11:18.634	43.462229950	1.272889989	0.28779	122
47.474	09:11:18.884	43.462229950	1.272889989	0.28779	122
47.724	09:11:19.134	43.462229950	1.272889989	0.28779	122
47.974	09:11:19.384	43.462229950	1.272889989	0.28779	122
48.224	09:11:19.634	43.462229950	1.272889989	0.28779	122
48.474	09:11:19.884	43.462229950	1.272889989	0.28779	122
48.724	09:11:20.134	43.462229950	1.272889989	0.292087	122
48.974	09:11:20.384	43.462229950	1.272889989	0.292087	122
49.224	09:11:20.634	43.462229950	1.272889989	0.292087	122
49.474	09:11:20.884	43.462229950	1.272889989	0.292087	122
49.724	09:11:21.134	43.462229950	1.272889989	0.292087	122
49.974	09:11:21.384	43.462229950	1.272889989	0.292087	122
50.224	09:11:21.634	43.462229950	1.272889989	0.292087	122
50.474	09:11:21.884	43.462229950	1.272889989	0.292087	122
50.724	09:11:22.134	43.462229950	1.272889989	0.292087	122
50.974	09:11:22.384	43.462229950	1.272889989	0.292087	122
51.224	09:11:22.634	43.462229950	1.272889989	0.292087	122
51.474	09:11:22.884	43.462229950	1.272889989	0.292087	122
51.724	09:11:23.134	43.462229950	1.272889989	0.296383	122
51.974	09:11:23.384	43.462229950	1.272889989	0.296383	122
52.224	09:11:23.634	43.462229950	1.272889989	0.296383	122
52.474	09:11:23.884	43.462229950	1.272889989	0.296383	122
52.724	09:11:24.134	43.462229950	1.272889989	0.296383	122
52.974	09:11:24.384	43.462229950	1.272889989	0.296383	122
53.224	09:11:24.634	43.462229950	1.272889989	0.296383	122
53.474	09:11:24.884	43.462229950	1.272889989	0.296383	122
53.724	09:11:25.134	43.462229950	1.272889989	0.296383	122
53.974	09:11:25.384	43.462229950	1.272889989	0.296383	122
54.224	09:11:25.634	43.462229950	1.272889989	0.296383	122
54.474	09:11:25.884	43.462229950	1.272889989	0.296383	122
