Time	UTC	GPS_lat(deg)	GPS_long(deg)	FINKEN_IR_ADC:ir_distance	FINKEN_ACTUATORS_MODEL:thrust	ROTORCRAFT_STATUS:vsupply	ROTORCRAFT_FP:thrust
30.144	13:35:51.207	43.462229950	1.272889989	0.2	0.239474	126	0
30.394	13:35:51.457	43.462229950	1.272889989	0.242095	0.239474	126	0
30.644	13:35:51.707	43.462229950	1.272889989	0.242095	0.239474	126	0
30.894	13:35:51.957	43.462229950	1.272889989	0.242095	0.239474	126	0
31.144	13:35:52.207	43.462229950	1.272889989	0.242095	0.239474	126	0
31.394	13:35:52.457	43.462229950	1.272889989	0.242476	0.239474	126	0
31.644	13:35:52.707	43.462229950	1.272889989	0.242476	0.239474	126	0
31.894	13:35:52.957	43.462229950	1.272889989	0.242476	0.239474	126	0
32.144	13:35:53.207	43.462229950	1.272889989	0.242476	0.239474	126	0
32.394	13:35:53.457	43.462229950	1.272889989	0.242667	0.239474	126	0
32.644	13:35:53.707	43.462229950	1.272889989	0.242667	0.239474	126	0
32.894	13:35:53.957	43.462229950	1.272889989	0.242667	0.239474	126	0
33.144	13:35:54.207	43.462229950	1.272889989	0.242667	0.239474	126	0
33.394	13:35:54.457	43.462229950	1.272889989	0.242476	0.239474	126	0
33.644	13:35:54.707	43.462229950	1.272889989	0.242476	0.239474	126	0
33.894	13:35:54.957	43.462229950	1.272889989	0.242476	0.239474	126	0
34.144	13:35:55.207	43.462229950	1.272889989	0.242476	0.239474	126	0
34.394	13:35:55.457	43.462229950	1.272889989	0.242286	0.239474	126	0
34.644	13:35:55.707	43.462229950	1.272889989	0.242286	0.239474	126	0
34.894	13:35:55.957	43.462229950	1.272889989	0.242286	0.239474	126	0
35.144	13:35:56.207	43.462229950	1.272889989	0.242286	0.239474	126	0
35.394	13:35:56.457	43.462229950	1.272889989	0.242476	0.239474	126	0
35.644	13:35:56.707	43.462229950	1.272889989	0.242476	0.239474	126	0
35.894	13:35:56.957	43.462229950	1.272889989	0.242476	0.239474	126	0
36.144	13:35:57.207	43.462229950	1.272889989	0.242476	0.239474	126	0
36.394	13:35:57.457	43.462229950	1.272889989	0.242476	0.239474	126	0
36.644	13:35:57.707	43.462229950	1.272889989	0.242476	0.239474	126	0
36.894	13:35:57.957	43.462229950	1.272889989	0.242476	0.239474	126	0
37.144	13:35:58.207	43.462229950	1.272889989	0.242476	0.239474	126	0
37.394	13:35:58.457	43.462229950	1.272889989	0.242286	0.239474	126	0
37.644	13:35:58.707	43.462229950	1.272889989	0.242286	0.239474	126	0
37.894	13:35:58.957	43.462229950	1.272889989	0.242286	0.239474	126	0
38.144	13:35:59.207	43.462229950	1.272889989	0.242286	0.239474	126	0
38.394	13:35:59.457	43.462229950	1.272889989	0.242476	0.239474	126	0
38.644	13:35:59.707	43.462229950	1.272889989	0.242476	0.239474	126	0
38.894	13:35:59.957	43.462229950	1.272889989	0.242476	0.239474	126	0
39.144	13:36:0.207	43.462229950	1.272889989	0.242476	0.239474	126	0
39.394	13:36:0.457	43.462229950	1.272889989	0.242476	0.239474	126	0
39.644	13:36:0.707	43.462229950	1.272889989	0.242476	0.239474	126	0
39.894	13:36:0.957	43.462229950	1.272889989	0.242476	0.239474	126	0
40.144	13:36:1.207	43.462229950	1.272889989	0.242476	0.239474	126	0
40.394	13:36:1.457	43.462229950	1.272889989	0.242476	0.239474	126	0
40.644	13:36:1.707	43.462229950	1.272889989	0.242476	0.239474	126	0
40.894	13:36:1.957	43.462229950	1.272889989	0.242476	0.239474	126	0
41.144	13:36:2.207	43.462229950	1.272889989	0.242476	0.239474	126	0
41.394	13:36:2.457	43.462229950	1.272889989	0.242476	0.239474	126	0
41.644	13:36:2.707	43.462229950	1.272889989	0.242476	0.239474	126	0
41.894	13:36:2.957	43.462229950	1.272889989	0.242476	0.239474	126	0
42.144	13:36:3.207	43.462229950	1.272889989	0.242476	0.239474	126	0
42.394	13:36:3.457	43.462229950	1.272889989	0.242476	0.239474	126	0
42.644	13:36:3.707	43.462229950	1.272889989	0.242476	0.239474	126	0
42.894	13:36:3.957	43.462229950	1.272889989	0.242476	0.239474	126	0
43.144	13:36:4.207	43.462229950	1.272889989	0.242476	0.239474	126	0
43.394	13:36:4.457	43.462229950	1.272889989	0.242476	0.239474	126	0
43.644	13:36:4.707	43.462229950	1.272889989	0.242476	0.239474	126	0
43.894	13:36:4.957	43.462229950	1.272889989	0.242476	0.239474	126	0
44.144	13:36:5.207	43.462229950	1.272889989	0.242476	0.239474	126	0
44.394	13:36:5.457	43.462229950	1.272889989	0.242286	0.239474	126	0
44.644	13:36:5.707	43.462229950	1.272889989	0.242286	0.239474	126	-1255
44.894	13:36:5.957	43.462229950	1.272889989	0.242286	0.239474	126	-1255
45.144	13:36:6.207	43.462229950	1.272889989	0.242286	0.239474	126	-1255
45.394	13:36:6.457	43.462229950	1.272889989	0.241524	0.239474	126	-1255
45.644	13:36:6.707	43.462229950	1.272889989	0.241524	0.239474	126	-1255
45.894	13:36:6.957	43.462229950	1.272889989	0.241524	0.239474	126	-1255
46.144	13:36:7.207	43.462229950	1.272889989	0.241524	0.239474	126	-1255
46.394	13:36:7.457	43.462229950	1.272889989	0.242286	0.239474	126	-1255
